order_id,customer_id,product_id,order_date,quantity
1,147,50,2026-03-15,5
2,181,15,2026-05-20,5
3,129,44,2026-08-25,2
4,50,58,2026-06-27,1
5,159,51,2026-08-20,1
6,297,24,2026-07-14,2
7,47,59,2025-11-02,3
8,213,12,2025-11-03,2
9,277,57,2025-12-31,5
10,257,59,2026-03-15,2
11,132,59,2026-08-12,4
12,152,48,2026-06-12,1
13,240,5,2025-06-04,2
14,204,55,2026-08-04,3
15,47,51,2026-02-12,1
16,136,35,2025-06-23,4
17,189,44,2026-08-04,3
18,300,25,2026-06-03,1
19,120,31,2026-03-16,5
20,288,21,2026-08-19,5
21,114,42,2025-05-31,4
22,155,42,2026-06-10,1
23,72,3,2026-08-29,1
24,156,32,2026-03-18,1
25,121,57,2026-07-08,2
26,199,30,2026-06-29,5
27,215,38,2026-08-03,2
28,213,42,2025-09-12,4
29,209,18,2025-10-02,3
30,112,29,2026-08-19,2
31,186,7,2026-04-26,5
32,184,4,2026-07-01,3
33,98,8,2026-08-21,1
34,109,42,2026-08-20,1
35,26,51,2026-07-13,2
36,65,51,2026-08-23,2
37,36,54,2026-08-30,2
38,111,53,2026-07-25,3
39,76,51,2025-02-27,3
40,75,9,2026-07-13,3
41,90,8,2026-06-17,1
42,68,1,2026-02-03,2
43,166,2,2026-07-04,3
44,27,9,2026-08-20,5
45,59,48,2026-07-03,4
46,230,50,2026-01-01,5
47,56,29,2026-07-16,2
48,23,47,2026-07-18,5
49,155,30,2025-11-28,1
50,246,55,2026-03-31,4
51,56,32,2026-08-12,4
52,38,58,2025-07-02,3
53,76,5,2025-07-04,3
54,300,36,2026-05-10,4
55,272,19,2026-06-21,5
56,221,7,2026-07-17,1
57,283,47,2026-08-28,4
58,232,57,2026-05-20,4
59,174,53,2026-04-15,4
60,213,47,2025-09-10,3
61,219,21,2026-03-27,3
62,192,10,2026-08-22,4
63,35,6,2026-08-03,1
64,222,7,2026-03-15,2
65,285,4,2026-03-29,5
66,288,22,2026-04-16,1
67,211,23,2026-07-24,4
68,27,19,2026-08-13,3
69,54,37,2026-05-20,2
70,80,43,2026-07-10,2
71,56,23,2026-08-29,5
72,189,8,2026-01-14,5
73,116,52,2026-05-23,5
74,286,2,2025-12-13,1
75,93,18,2026-08-26,3
76,180,1,2026-06-24,2
77,290,43,2026-07-18,1
78,73,48,2025-05-08,1
79,272,14,2026-05-12,4
80,233,22,2025-11-28,3
81,160,47,2026-08-05,5
82,44,57,2026-07-07,2
83,81,49,2026-05-01,1
84,140,29,2026-06-20,4
85,249,39,2026-08-15,4
86,140,14,2026-08-07,5
87,59,23,2026-08-19,1
88,146,44,2026-04-04,5
89,250,34,2026-06-27,1
90,113,26,2026-02-17,1
91,4,14,2026-08-01,2
92,71,49,2025-09-23,3
93,168,8,2025-07-26,4
94,221,12,2025-09-27,4
95,273,46,2026-08-13,5
96,287,54,2026-05-11,1
97,204,56,2026-03-25,4
98,10,30,2025-07-22,3
99,295,28,2026-07-23,4
100,214,19,2025-08-03,4
101,11,21,2026-01-07,5
102,236,54,2026-02-04,1
103,224,55,2025-05-31,2
104,224,38,2026-03-29,5
105,41,26,2026-01-18,3
106,114,22,2026-06-01,2
107,40,33,2026-05-03,1
108,272,33,2026-02-08,3
109,180,47,2026-08-22,2
110,121,7,2025-06-02,3
111,102,12,2026-08-03,2
112,39,12,2026-07-08,4
113,289,49,2026-08-31,4
114,290,42,2026-08-17,5
115,166,56,2026-08-31,3
116,78,29,2025-10-16,4
117,227,41,2026-05-23,3
118,29,23,2026-07-06,1
119,159,30,2026-08-20,1
120,30,24,2026-02-25,1
121,47,40,2026-06-07,4
122,237,38,2026-04-15,1
123,231,59,2026-08-26,5
124,97,21,2026-07-04,4
125,257,10,2026-01-20,4
126,53,52,2026-07-29,3
127,44,33,2026-08-14,2
128,21,16,2026-05-24,4
129,269,34,2026-07-21,2
130,187,24,2026-05-03,4
131,210,50,2026-01-01,5
132,27,51,2026-08-15,1
133,169,7,2026-03-19,3
134,130,47,2026-06-26,5
135,77,22,2026-03-09,5
136,73,59,2026-03-31,3
137,201,9,2026-04-19,1
138,159,36,2026-08-18,3
139,66,43,2026-08-08,5
140,48,42,2026-06-10,4
141,261,24,2026-05-20,3
142,159,12,2026-08-12,3
143,249,13,2026-08-01,2
144,80,5,2026-05-23,1
145,260,50,2026-07-30,5
146,20,43,2026-02-15,5
147,68,39,2026-02-22,2
148,84,12,2026-08-20,5
149,85,47,2026-07-08,1
150,211,24,2026-07-30,2
151,228,40,2026-05-31,4
152,120,35,2026-05-10,3
153,241,58,2025-12-13,3
154,293,29,2026-07-20,3
155,196,33,2026-05-11,4
