product_id,category,unit_cost,unit_price
1,Apparel,14.64,25.56
2,Office Supplies,12.76,22.91
3,Office Supplies,4.06,6.2
4,Electronics,70.57,117.41
5,Sports & Outdoors,41.7,54.25
6,Sports & Outdoors,28.63,38.62
7,Sports & Outdoors,25.02,49.56
8,Office Supplies,12.12,17.98
9,Sports & Outdoors,16.72,26.07
10,Office Supplies,4.46,9.7
11,Sports & Outdoors,40.78,79.06
12,Apparel,17.57,31.57
13,Electronics,34.79,71.57
14,Electronics,46.15,64.87
15,Home & Kitchen,22.46,43.68
16,Sports & Outdoors,37.39,62.59
17,Office Supplies,14.76,22.43
18,Sports & Outdoors,17.21,25.33
19,Sports & Outdoors,30.3,63.37
20,Electronics,37.26,74.93
21,Office Supplies,7.08,14.22
22,Apparel,23.23,36.11
23,Apparel,23.59,42.98
24,Office Supplies,13.38,22.77
25,Office Supplies,7.14,12.83
26,Sports & Outdoors,25.58,54.73
27,Home & Kitchen,35.48,53.75
28,Office Supplies,5.8,11.59
29,Electronics,39.27,67.77
30,Office Supplies,7.63,14.48
31,Home & Kitchen,22.37,29.83
32,Sports & Outdoors,46.75,74.74
33,Electronics,65.96,111.89
34,Sports & Outdoors,44.78,58.83
35,Home & Kitchen,20.07,37.92
36,Home & Kitchen,11.02,22.08
37,Apparel,13.11,25.22
38,Electronics,64.88,134.11
39,Sports & Outdoors,25.68,40.7
40,Office Supplies,13.47,17.95
41,Electronics,35.27,67.58
42,Apparel,26.95,53.15
43,Office Supplies,14.74,29.25
44,Electronics,45.3,87.18
45,Electronics,26.21,52.85
46,Apparel,13.53,22.83
47,Home & Kitchen,23.34,42.23
48,Home & Kitchen,13.59,18.63
49,Office Supplies,10.44,15.83
50,Sports & Outdoors,17.15,29.41
51,Apparel,15.65,29.74
52,Office Supplies,13.81,26.38
53,Home & Kitchen,10.99,23.64
54,Sports & Outdoors,22.77,49.32
55,Apparel,15.59,24.51
56,Office Supplies,13.24,18.48
57,Office Supplies,9.86,17.92
58,Apparel,6.46,13.22
59,Office Supplies,6.29,11.38
60,Electronics,67.71,133.43
